"Station","Date","Maximum Temperature (°C)","Minimum Temperature (°C)","Grass Temperature (°C)","Hail","Frost","Snow","Fog","Thunder","Lightening","Sand storm","Gale","Accumulated 6 hr evaporation (mm)","Accumulated 12 hr evaporation (mm)","Daily evaporation type A (mm)","Daily evaporation type A code (code)","Sunshine duration (minutes)"
"Bet Dagan Man 01/1964-04/2024","27/04/2020","","","","0","","0","0","0","0","0","","","","4.4","0",""
"Bet Dagan Man 01/1964-04/2024","28/04/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","29/04/2020","","","","0","","0","0","0","0","0","","","","5.2","0",""
"Bet Dagan Man 01/1964-04/2024","30/04/2020","","","","0","","0","0","0","0","0","","","","4.3","0",""
"Bet Dagan Man 01/1964-04/2024","01/05/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","02/05/2020","","","","0","","0","0","0","0","0","","","","5.2","0",""
"Bet Dagan Man 01/1964-04/2024","03/05/2020","","","","0","","0","0","0","0","0","","","","5.5","0",""
"Bet Dagan Man 01/1964-04/2024","04/05/2020","","","","0","","0","0","0","0","0","","","","5.8","0",""
"Bet Dagan Man 01/1964-04/2024","05/05/2020","","","","0","","0","0","0","0","0","","","","4.0","0",""
"Bet Dagan Man 01/1964-04/2024","06/05/2020","","","","0","","0","0","0","0","0","","","","5.4","0",""
"Bet Dagan Man 01/1964-04/2024","07/05/2020","","","","0","","0","0","0","0","0","","","","5.4","0",""
"Bet Dagan Man 01/1964-04/2024","08/05/2020","","","","0","","0","0","0","0","0","","","","7.1","0",""
"Bet Dagan Man 01/1964-04/2024","09/05/2020","","","","0","","0","0","0","0","0","","","","3.4","0",""
"Bet Dagan Man 01/1964-04/2024","10/05/2020","","","","0","","0","0","0","0","0","","","","6.3","0",""
"Bet Dagan Man 01/1964-04/2024","11/05/2020","","","","0","","0","0","0","0","0","","","","5.0","0",""
"Bet Dagan Man 01/1964-04/2024","12/05/2020","","","","0","","0","0","0","0","0","","","","5.8","0",""
"Bet Dagan Man 01/1964-04/2024","13/05/2020","","","","0","","0","0","0","0","0","","","","5.6","0",""
"Bet Dagan Man 01/1964-04/2024","14/05/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","15/05/2020","","","","0","","0","0","0","0","0","","","","","1",""
"Bet Dagan Man 01/1964-04/2024","16/05/2020","","","","0","","0","0","0","0","0","","","","16.0","2",""
"Bet Dagan Man 01/1964-04/2024","17/05/2020","","","","0","","0","0","0","0","0","","","","12.6","0",""
"Bet Dagan Man 01/1964-04/2024","18/05/2020","","","","0","","0","0","0","0","0","","","","13.9","0",""
"Bet Dagan Man 01/1964-04/2024","19/05/2020","","","","0","","0","0","0","0","0","","","","12.2","0",""
"Bet Dagan Man 01/1964-04/2024","20/05/2020","","","","0","","0","0","0","0","0","","","","12.5","0",""
"Bet Dagan Man 01/1964-04/2024","21/05/2020","","","","0","","0","0","0","0","0","","","","9.9","0",""
"Bet Dagan Man 01/1964-04/2024","22/05/2020","","","","0","","0","0","0","0","0","","","","8.1","0",""
"Bet Dagan Man 01/1964-04/2024","23/05/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","24/05/2020","","","","0","","0","0","0","0","0","","","","7.9","0",""
"Bet Dagan Man 01/1964-04/2024","25/05/2020","","","","0","","0","0","0","0","0","","","","6.4","0",""
"Bet Dagan Man 01/1964-04/2024","26/05/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","27/05/2020","","","","0","","0","0","0","0","0","","","","5.9","0",""
"Bet Dagan Man 01/1964-04/2024","28/05/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","29/05/2020","","","","0","","0","0","0","0","0","","","","8.0","0",""
"Bet Dagan Man 01/1964-04/2024","30/05/2020","","","","0","","0","0","0","0","0","","","","6.2","0",""
"Bet Dagan Man 01/1964-04/2024","31/05/2020","","","","0","","0","0","0","0","0","","","","7.1","0",""
"Bet Dagan Man 01/1964-04/2024","01/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","02/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","03/06/2020","","","","0","","0","0","0","0","0","","","","6.3","0",""
"Bet Dagan Man 01/1964-04/2024","04/06/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","05/06/2020","","","","0","","0","0","0","0","0","","","","","1",""
"Bet Dagan Man 01/1964-04/2024","06/06/2020","","","","0","","0","0","0","0","0","","","","15.7","2",""
"Bet Dagan Man 01/1964-04/2024","07/06/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","08/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","09/06/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","10/06/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","11/06/2020","","","","0","","0","0","0","0","0","","","","5.9","0",""
"Bet Dagan Man 01/1964-04/2024","12/06/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","13/06/2020","","","","0","","0","0","0","0","0","","","","8.1","0",""
"Bet Dagan Man 01/1964-04/2024","14/06/2020","","","","0","","0","0","0","0","0","","","","7.7","0",""
"Bet Dagan Man 01/1964-04/2024","15/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","16/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","17/06/2020","","","","0","","0","0","0","0","0","","","","7.6","0",""
"Bet Dagan Man 01/1964-04/2024","18/06/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","19/06/2020","","","","0","","0","0","0","0","0","","","","7.9","0",""
"Bet Dagan Man 01/1964-04/2024","20/06/2020","","","","0","","0","0","0","0","0","","","","6.1","0",""
"Bet Dagan Man 01/1964-04/2024","21/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","22/06/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","23/06/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","24/06/2020","","","","0","","0","0","0","0","0","","","","7.8","0",""
"Bet Dagan Man 01/1964-04/2024","25/06/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","26/06/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","27/06/2020","","","","0","","0","0","0","0","0","","","","5.9","0",""
"Bet Dagan Man 01/1964-04/2024","28/06/2020","","","","0","","0","0","0","0","0","","","","5.4","0",""
"Bet Dagan Man 01/1964-04/2024","29/06/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","30/06/2020","","","","0","","0","0","0","0","0","","","","6.2","0",""
"Bet Dagan Man 01/1964-04/2024","01/07/2020","","","","0","","0","0","0","0","0","","","","7.2","0",""
"Bet Dagan Man 01/1964-04/2024","02/07/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","03/07/2020","","","","0","","0","0","0","0","0","","","","8.4","0",""
"Bet Dagan Man 01/1964-04/2024","04/07/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","05/07/2020","","","","0","","0","0","0","0","0","","","","6.3","0",""
"Bet Dagan Man 01/1964-04/2024","06/07/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","07/07/2020","","","","0","","0","0","0","0","0","","","","6.5","0",""
"Bet Dagan Man 01/1964-04/2024","08/07/2020","","","","0","","0","0","0","0","0","","","","7.9","0",""
"Bet Dagan Man 01/1964-04/2024","09/07/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","10/07/2020","","","","0","","0","0","0","0","0","","","","6.6","0",""
"Bet Dagan Man 01/1964-04/2024","11/07/2020","","","","0","","0","0","0","0","0","","","","6.1","0",""
"Bet Dagan Man 01/1964-04/2024","12/07/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","13/07/2020","","","","0","","0","0","0","0","0","","","","6.5","0",""
"Bet Dagan Man 01/1964-04/2024","14/07/2020","","","","0","","0","0","0","0","0","","","","6.5","0",""
"Bet Dagan Man 01/1964-04/2024","15/07/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","16/07/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","17/07/2020","","","","0","","0","0","0","0","0","","","","8.7","0",""
"Bet Dagan Man 01/1964-04/2024","18/07/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","19/07/2020","","","","0","","0","0","0","0","0","","","","7.0","0",""
"Bet Dagan Man 01/1964-04/2024","20/07/2020","","","","0","","0","0","0","0","0","","","","6.6","0",""
"Bet Dagan Man 01/1964-04/2024","21/07/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","22/07/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","23/07/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","24/07/2020","","","","0","","0","0","0","0","0","","","","6.2","0",""
"Bet Dagan Man 01/1964-04/2024","25/07/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","26/07/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","27/07/2020","","","","0","","0","0","0","0","0","","","","7.1","0",""
"Bet Dagan Man 01/1964-04/2024","28/07/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","29/07/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","30/07/2020","","","","0","","0","0","0","0","0","","","","7.5","0",""
"Bet Dagan Man 01/1964-04/2024","31/07/2020","","","","0","","0","0","0","0","0","","","","7.0","0",""
"Bet Dagan Man 01/1964-04/2024","01/08/2020","","","","0","","0","0","0","0","0","","","","6.2","0",""
"Bet Dagan Man 01/1964-04/2024","02/08/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","03/08/2020","","","","0","","0","0","0","0","0","","","","8.1","0",""
"Bet Dagan Man 01/1964-04/2024","04/08/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","05/08/2020","","","","0","","0","0","0","0","0","","","","7.2","0",""
"Bet Dagan Man 01/1964-04/2024","06/08/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","07/08/2020","","","","0","","0","0","0","0","0","","","","8.3","0",""
"Bet Dagan Man 01/1964-04/2024","08/08/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","09/08/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","10/08/2020","","","","0","","0","0","0","0","0","","","","6.9","0",""
"Bet Dagan Man 01/1964-04/2024","11/08/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","12/08/2020","","","","0","","0","0","0","0","0","","","","6.3","0",""
"Bet Dagan Man 01/1964-04/2024","13/08/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","14/08/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","15/08/2020","","","","0","","0","0","0","0","0","","","","6.4","0",""
"Bet Dagan Man 01/1964-04/2024","16/08/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","17/08/2020","","","","0","","0","0","0","0","0","","","","6.7","0",""
"Bet Dagan Man 01/1964-04/2024","18/08/2020","","","","0","","0","0","0","0","0","","","","5.6","0",""
"Bet Dagan Man 01/1964-04/2024","19/08/2020","","","","0","","0","0","0","0","0","","","","7.6","0",""
"Bet Dagan Man 01/1964-04/2024","20/08/2020","","","","0","","0","0","0","0","0","","","","8.0","0",""
"Bet Dagan Man 01/1964-04/2024","21/08/2020","","","","0","","0","0","0","0","0","","","","6.1","0",""
"Bet Dagan Man 01/1964-04/2024","22/08/2020","","","","0","","0","0","0","0","0","","","","7.0","0",""
"Bet Dagan Man 01/1964-04/2024","23/08/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","24/08/2020","","","","0","","0","0","0","0","0","","","","8.6","0",""
"Bet Dagan Man 01/1964-04/2024","25/08/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","26/08/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","27/08/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","28/08/2020","","","","0","","0","0","0","0","0","","","","6.4","0",""
"Bet Dagan Man 01/1964-04/2024","29/08/2020","","","","0","","0","0","0","0","0","","","","6.1","0",""
"Bet Dagan Man 01/1964-04/2024","30/08/2020","","","","0","","0","0","0","0","0","","","","5.9","0",""
"Bet Dagan Man 01/1964-04/2024","31/08/2020","","","","0","","0","0","0","0","0","","","","7.4","0",""
"Bet Dagan Man 01/1964-04/2024","01/09/2020","","","","0","","0","0","0","0","0","","","","6.3","0",""
"Bet Dagan Man 01/1964-04/2024","02/09/2020","","","","0","","0","0","0","0","0","","","","7.3","0",""
"Bet Dagan Man 01/1964-04/2024","03/09/2020","","","","0","","0","0","0","0","0","","","","5.2","0",""
"Bet Dagan Man 01/1964-04/2024","04/09/2020","","","","0","","0","0","0","0","0","","","","7.7","0",""
"Bet Dagan Man 01/1964-04/2024","05/09/2020","","","","0","","0","0","0","0","0","","","","6.8","0",""
"Bet Dagan Man 01/1964-04/2024","06/09/2020","","","","0","","0","0","0","0","0","","","","7.1","0",""
"Bet Dagan Man 01/1964-04/2024","07/09/2020","","","","0","","0","0","0","0","0","","","","7.8","0",""
